id,vince,gregmat,magoosh,manhattan,prep_scholar,powerscore,greenlight_basic,greenlight_advanced
924,quail,,tractable,token,,,,
925,quandary,,transient,tome,,,,
926,quash,,transitory,torpor,,,,
927,querulous,,transmute,torrid,,,,
928,quiescent,,travail,tortuous,,,,
929,quintessential,,travesty,tractable,,,,
930,quixotic,,treacherous,transgression,,,,
931,quizzical,,trenchant,transitory,,,,
932,quotidian,,tribulation,travesty,,,,
933,raconteur,,trite,treacherous,,,,
934,ragamuffin,,truculence,trenchant,,,,
935,raiment,,truculent,trifling,,,,
936,ramification,,truncate,trite,,,,
937,rampant,,tumult,truculent,,,,
938,rancorous,,turgid,tumultuous,,,,
939,rankled,,turpitude,turgid,,,,
940,rapacious,,tyro,turpitude,,,,
941,rapt,,umbrage,tyro,,,,
942,rapturous,,unassailable,ubiquitous,,,,
943,rarefied,,uncanny,umbrage,,,,
944,rash,,uncompromising,unconscionable,,,,
945,raucous,,unconscionable,undermine,,,,
946,raze,,undermine,underscore,,,,
947,readily,,underscore,unearth,,,,
948,realization,,underwrite,unequivocal,,,,
949,reap,,unequivocal,unprecedented,,,,
950,rebuttal,,unflappable,unseemly,,,,
951,recalcitrant,,unforthcoming,unsparing,,,,
952,recant,,unimpeachable,untempered,,,,
953,recapitulated,,unnerve,upbraid,,,,
954,recidivist,,unprecedented,usury,,,,
955,reclusive,,unprepossessing,vacillate,,,,
956,recondite,,unpropitious,vanguard,,,,
957,recrudescent,,unruly,variegated,,,,
958,rectitude,,unscrupulous,venerate,,,,
959,redouble,,unseemly,veracity,,,,
960,redress,,unstinting,verbose,,,,
961,reductive,,untenable,verdant,,,,
962,redundant,,untoward,verisimilar,,,,
963,refracted,,untrammeled,vernal,,,,
964,refractory,,unviable,vestige,,,,
965,refulgent,,upbraid,vex,,,,
966,refute,,urbane,via,,,,
967,rejuvenated,,vacillate,viable,,,,
968,relinquish,,vacuous,vicissitude,,,,
969,relish,,vanquish,vim,,,,
970,remedial,,variance,vintage,,,,
971,reminiscent,,vaunted,virtual,,,,
972,remiss,,vehement,virulent,,,,
973,remunerated,,venality,viscid or viscous,,,,
974,renowned,,veneer,vitriol,,,,
975,repertoire,,venerate,vituperate,,,,
976,replete,,venial,vociferous,,,,
977,reprehensible,,veracious,volatile,,,,
978,reprobate,,verisimilitude,voluble,,,,
979,reprove,,veritable,wan,,,,
980,repudiate,,vicarious,wanton,,,,
981,repugnant,,vicissitude,warranted,,,,
982,requisite,,vie,wary,,,,
983,resigned,,vilify,welter,,,,
984,resilient,,vindicate,whereas,,,,
985,resolute,,vindictive,whet,,,,
986,resonant,,virago,whimsical,,,,
987,respite,,vitriol,whitewash,,,,
988,resplendent,,vitriolic,wily,,,,
989,restitution,,vituperate,winnow,,,,
990,restive,,vociferous,winsome,,,,
991,resurgence,,volubility,wizened,,,,
992,reticent,,voracious,xenophobia,,,,
993,retiring,,wanting,yoke,,,,
994,retrenchment,,wanton,zeal,,,,
995,retrospection,,wax,zenith,,,,
996,revamp,,whimsical,,,,,
997,revanche,,winsome,,,,,
998,reverberate,,zeitgeist,,,,,
999,reverent,,zenith,,,,,
1000,revile,,,,,,,
1001,revulsion,,,,,,,
1002,rhapsodize,,,,,,,
1003,rhetorical,,,,,,,
1004,rickety,,,,,,,
1005,rift,,,,,,,
1006,riposte,,,,,,,
1007,risible,,,,,,,
1008,risque,,,,,,,
1009,roborant,,,,,,,
1010,robust,,,,,,,
1011,rotund,,,,,,,
1012,row,,,,,,,
1013,rudimentary,,,,,,,
1014,ruffian,,,,,,,
1015,ruminate,,,,,,,
1016,saccharine,,,,,,,
1017,sacrosanct,,,,,,,
1018,salacious,,,,,,,
1019,salient,,,,,,,
1020,salubrious,,,,,,,
1021,salutary,,,,,,,
1022,sangfroid,,,,,,,
1023,sanguine,,,,,,,
1024,sap,,,,,,,
1025,sapid,,,,,,,
1026,sapient,,,,,,,
1027,sardonic,,,,,,,
1028,sashayed,,,,,,,
1029,satiated,,,,,,,
1030,scanty,,,,,,,
1031,scapegoat,,,,,,,
1032,scathing,,,,,,,
1033,schadenfreude,,,,,,,
1034,schism,,,,,,,
1035,scintillating,,,,,,,
1036,sclerotic,,,,,,,
1037,scofflaw,,,,,,,
1038,scotch,,,,,,,
1039,scrupulous,,,,,,,
1040,scrutinize,,,,,,,
1041,scuffle,,,,,,,
1042,scurrilous,,,,,,,
1043,scuttle,,,,,,,
1044,secretes,,,,,,,
1045,sectarian,,,,,,,
1046,secular,,,,,,,
1047,sedentary,,,,,,,
1048,sedulous,,,,,,,
1049,segue,,,,,,,
1050,self-styled,,,,,,,
1051,semblance,,,,,,,
1052,seminal,,,,,,,
1053,sententious,,,,,,,
1054,sentient,,,,,,,
1055,sequacious,,,,,,,
1056,sere,,,,,,,
1057,serendipity,,,,,,,
1058,servile,,,,,,,
1059,sham,,,,,,,
1060,shard,,,,,,,
1061,shelve,,,,,,,
1062,shirk,,,,,,,
1063,showy,,,,,,,
1064,shrewd,,,,,,,
1065,simper,,,,,,,
1066,simulacrum,,,,,,,
1067,sinuous,,,,,,,
1068,skittish,,,,,,,
1069,skulduggery,,,,,,,
1070,skulk,,,,,,,
1071,slake,,,,,,,
1072,slander,,,,,,,
1073,slatternly,,,,,,,
1074,slipshod,,,,,,,
1075,slothful,,,,,,,
1076,slovenly,,,,,,,
1077,sojourn,,,,,,,
1078,solecism,,,,,,,
1079,solicitous,,,,,,,
1080,solidarity,,,,,,,
1081,solipsistic,,,,,,,
1082,somnolent,,,,,,,
1083,sonorous,,,,,,,
1084,sophistry,,,,,,,
1085,sophomoric,,,,,,,
1086,soporific,,,,,,,
1087,sordid,,,,,,,
1088,soupcon,,,,,,,
1089,sovereign,,,,,,,
1090,sparing,,,,,,,
1091,sparse,,,,,,,
1092,specious,,,,,,,
1093,spendthrift,,,,,,,
1094,splenetic,,,,,,,
1095,spurious,,,,,,,
1096,squalid,,,,,,,
1097,squelch,,,,,,,
1098,stalwart,,,,,,,
1099,stanch,,,,,,,
1100,staple,,,,,,,
1101,statuesque,,,,,,,
1102,staunch,,,,,,,
1103,steadfast,,,,,,,
1104,stigmas,,,,,,,
1105,stilted,,,,,,,
1106,stolid,,,,,,,
1107,storied,,,,,,,
1108,stratagem,,,,,,,
1109,streamlined,,,,,,,
1110,strenuous,,,,,,,
1111,stricture,,,,,,,
1112,strident,,,,,,,
1113,stringent,,,,,,,
1114,stultify,,,,,,,
1115,stupefied,,,,,,,
1116,subjective,,,,,,,
1117,sublime,,,,,,,
1118,subsequent,,,,,,,
1119,subsidy,,,,,,,
1120,substantiate,,,,,,,
1121,subversive,,,,,,,
1122,subvert,,,,,,,
1123,succor,,,,,,,
1124,succumb,,,,,,,
1125,sullen,,,,,,,
1126,sumptuary,,,,,,,
1127,superficial,,,,,,,
1128,supplant,,,,,,,
1129,surly,,,,,,,
1130,surmise,,,,,,,
1131,surpassing,,,,,,,
1132,surreptitious,,,,,,,
1133,susceptible,,,,,,,
1134,swathe,,,,,,,
1135,sybarite,,,,,,,
1136,sycophant,,,,,,,
1137,synergy,,,,,,,
1138,synoptic,,,,,,,
1139,syntax,,,,,,,
1140,taciturn,,,,,,,
1141,tangible,,,,,,,
1142,taxonomic,,,,,,,
1143,temerity,,,,,,,
1144,temperance,,,,,,,
1145,tempestuous,,,,,,,
1146,temporal,,,,,,,
1147,tenable,,,,,,,
1148,tendentious,,,,,,,
1149,tensile,,,,,,,
1150,tenuous,,,,,,,
1151,tepid,,,,,,,
1152,terse,,,,,,,
1153,timorous,,,,,,,
1154,tirade,,,,,,,
1155,titular,,,,,,,
1156,tonic,,,,,,,
1157,toothsome,,,,,,,
1158,torpid,,,,,,,
1159,tortuous,,,,,,,
1160,totalitarian,,,,,,,
1161,touted,,,,,,,
1162,tranquil,,,,,,,
1163,transgression,,,,,,,
1164,transitory,,,,,,,
1165,treacly,,,,,,,
1166,tremulous,,,,,,,
1167,trepidation,,,,,,,
1168,trifling,,,,,,,
1169,truculent,,,,,,,
1170,truncated,,,,,,,
1171,tumid,,,,,,,
1172,tumultuous,,,,,,,
1173,turbid,,,,,,,
1174,turgid,,,,,,,
1175,turpitude,,,,,,,
1176,ubiquitous,,,,,,,
1177,umbrage,,,,,,,
1178,unadorned,,,,,,,
1179,unassuming,,,,,,,
1180,unbridled,,,,,,,
1181,unconscionable,,,,,,,
1182,unconventional,,,,,,,
1183,unctuous,,,,,,,
1184,uncultivated,,,,,,,
1185,undermine,,,,,,,
1186,underscore,,,,,,,
1187,understated,,,,,,,
1188,undulate,,,,,,,
1189,uniform,,,,,,,
1190,unkempt,,,,,,,
1191,unpretentiousness,,,,,,,
1192,unpropitious,,,,,,,
1193,unruly,,,,,,,
1194,unsavory,,,,,,,
1195,untenable,,,,,,,
1196,untoward,,,,,,,
1197,unwieldy,,,,,,,
1198,upbraided,,,,,,,
1199,urbane,,,,,,,
1200,usurious,,,,,,,
1201,usurp,,,,,,,
1202,utilitarian,,,,,,,
1203,utopian,,,,,,,
1204,vacuous,,,,,,,
1205,vainglorious,,,,,,,
1206,vanquished,,,,,,,
1207,vapid,,,,,,,
1208,variegated,,,,,,,
1209,vaunted,,,,,,,
1210,vehement,,,,,,,
1211,venal,,,,,,,
1212,veracious,,,,,,,
1213,verbose,,,,,,,
1214,verboten,,,,,,,
1215,verisimilar,,,,,,,
1216,vernacular,,,,,,,
1217,vertiginous,,,,,,,
1218,vestige,,,,,,,
1219,vex,,,,,,,
1220,vicarious,,,,,,,
1221,vigilant,,,,,,,
1222,vilify,,,,,,,
1223,vindicate,,,,,,,
1224,vindictive,,,,,,,
1225,virtuoso,,,,,,,
1226,virulent,,,,,,,
1227,viscous,,,,,,,
1228,vitiate,,,,,,,
1229,vitriolic,,,,,,,
1230,vituperated,,,,,,,
1231,vivacious,,,,,,,
1232,vocation,,,,,,,
1233,vociferous,,,,,,,
1234,volatile,,,,,,,
1235,volition,,,,,,,
1236,voluminous,,,,,,,
1237,voracious,,,,,,,
1238,voyeur,,,,,,,
1239,waffle,,,,,,,
1240,wan,,,,,,,
1241,wane,,,,,,,
1242,wanting,,,,,,,
1243,waspish,,,,,,,
1244,watershed,,,,,,,
1245,wax,,,,,,,
1246,welter,,,,,,,
1247,whet,,,,,,,
1248,whimsical,,,,,,,
1249,willful,,,,,,,
1250,wily,,,,,,,
1251,winnow,,,,,,,
1252,winsome,,,,,,,
1253,wistful,,,,,,,
1254,wizened,,,,,,,
1255,wont,,,,,,,
1256,woo,,,,,,,
1257,workmanlike,,,,,,,
1258,worldly,,,,,,,
1259,wrongheaded,,,,,,,
1260,wry,,,,,,,
1261,zealous,,,,,,,
1262,zenith,,,,,,,
1263,zephyr,,,,,,,
